latitude,longitude,accommodates,bathrooms,amenities_count,price,minimum_nights,maximum_nights,availability_365,number_of_reviews_ltm,review_scores_rating,bedrooms,host_is_superhost_false,host_is_superhost_true,Entire home/apt,Hotel room,Private room,Shared room,Exempt,Mobility lease only,Unlicensed,licensed,bathrooms_ratio,1er Arrondissement,2e Arrondissement,3e Arrondissement,4e Arrondissement,5e Arrondissement,6e Arrondissement,7e Arrondissement,8e Arrondissement,9e Arrondissement
45.76914,4.83575,1.0986122886681098,1.0986122886681098,26,4.700480365792417,1,15,260,4.174387269895637,4.9,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
45.7715,4.83261,1.3862943611198906,1.0986122886681098,8,4.330733340286331,14,320,274,0.0,4.5,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.7924812503605781,1,0,0,0,0,0,0,0,0
45.75448,4.81607,1.791759469228055,1.0986122886681098,58,5.342334251964811,6,32,213,2.70805020110221,4.84,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.6131471927654585,0,0,0,0,1,0,0,0,0
45.74888,4.82966,1.6094379124341003,1.0986122886681098,41,4.3694478524670215,2,1125,320,3.6109179126442243,4.55,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,1,0,0,0,0,0,0,0
45.74831,4.8508,1.0986122886681098,1.0986122886681098,34,3.8066624897703196,30,1125,12,1.0986122886681098,4.41,0.6931471805599453,1,0,1,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0
45.74892,4.79114,1.6094379124341003,1.3862943611198906,9,4.709530201312334,6,365,105,0.0,5.0,1.3862943611198906,1,0,1,0,0,0,0,0,1,0,0.8613531161467861,0,0,0,0,1,0,0,0,0
45.77181,4.82074,1.0986122886681098,1.0986122886681098,9,4.454347296253507,5,20,363,0.6931471805599453,5.0,0.6931471805599453,1,0,0,0,1,0,0,0,1,0,1.0,1,0,0,0,0,0,0,0,0
45.7666,4.84657,1.0986122886681098,1.0986122886681098,23,4.634728988229636,1,365,0,3.6109179126442243,4.58,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0
45.76025,4.87302,0.6931471805599453,1.0986122886681098,42,3.713572066704308,3,1125,170,3.044522437723423,4.9,0.6931471805599453,0,1,0,0,1,0,0,0,1,0,1.5849625007211563,0,0,1,0,0,0,0,0,0
45.77621,4.83692,1.6094379124341003,1.0986122886681098,19,4.02535169073515,7,1125,256,0.0,4.16,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,0,1,0,0,0,0,0
