id,host_id,host_since,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews_ltm,last_review,review_scores_rating,license,bedrooms,amenities_count
49847031,215816679,2018-09-17,f,9e Arrondissement,45.77887,4.80801,Entire home/apt,2,1.0,65.0,365,365,0,0,2021-08-11,4.75,Unlicensed,1.0,11
49850766,58378682,2016-02-11,f,8e Arrondissement,45.73626,4.85084,Entire home/apt,2,1.0,60.0,2,8,0,2,2023-12-10,5.0,licensed,1.0,25
49860347,402089963,2021-05-17,f,5e Arrondissement,45.75296,4.77984,Private room,2,1.0,35.0,7,1125,0,0,2021-07-21,5.0,Unlicensed,1.0,11
49866224,55885991,2016-01-24,f,5e Arrondissement,45.76349,4.82643,Entire home/apt,4,1.0,80.0,365,365,0,0,2021-12-12,5.0,licensed,1.0,11
49932765,20513839,2014-08-25,f,1er Arrondissement,45.77154,4.83439,Entire home/apt,4,1.0,120.0,2,1125,0,0,2022-04-10,4.75,licensed,2.0,14
49936492,291015206,2019-09-02,f,6e Arrondissement,45.76949,4.85417,Entire home/apt,6,1.0,94.0,2,365,285,69,2024-09-11,4.55,licensed,2.0,34
49938961,42817870,2015-08-29,f,3e Arrondissement,45.75667,4.85117,Private room,2,1.0,30.0,3,20,0,0,2023-04-10,4.69,Unlicensed,1.0,33
49939057,226216922,2018-11-17,f,1er Arrondissement,45.76836,4.83105,Entire home/apt,2,1.0,86.0,2,1125,344,17,2024-08-15,4.56,licensed,1.0,34
49956128,226216922,2018-11-17,f,7e Arrondissement,45.75208,4.84224,Entire home/apt,2,1.0,27.0,180,240,0,0,2023-07-31,4.67,Mobility lease only,1.0,31
49957070,226216922,2018-11-17,f,4e Arrondissement,45.78059,4.83424,Entire home/apt,6,1.0,95.0,90,240,0,1,2023-12-23,4.0,Mobility lease only,2.0,23
49976935,26571077,2015-01-23,f,7e Arrondissement,45.73539,4.82586,Entire home/apt,4,1.0,90.0,2,1125,0,0,2022-07-30,5.0,licensed,2.0,33
49991775,114867928,2017-02-04,f,7e Arrondissement,45.73939,4.83492,Entire home/apt,8,2.0,150.0,2,365,0,0,2022-08-07,4.58,licensed,3.0,34
49999872,381469332,2020-12-24,t,8e Arrondissement,45.72327,4.87989,Entire home/apt,4,1.0,96.0,1,35,3,28,2024-09-12,4.91,licensed,2.0,41
50001125,80161376,2016-06-27,f,2e Arrondissement,45.76208,4.83374,Entire home/apt,4,1.0,134.0,2,730,44,19,2024-08-08,4.86,licensed,1.0,39
50016055,139608556,2017-07-10,f,5e Arrondissement,45.76024,4.8005,Private room,4,1.0,29.0,2,30,51,14,2024-08-30,4.62,Unlicensed,1.0,42
50037050,139608556,2017-07-10,f,5e Arrondissement,45.7598,4.80222,Private room,2,1.0,29.0,2,30,51,15,2024-09-01,4.82,Unlicensed,1.0,52
50037243,14571983,2014-04-22,f,4e Arrondissement,45.77894,4.82666,Entire home/apt,2,1.0,100.0,2,45,0,0,2021-07-18,5.0,licensed,1.0,33
50040563,8872257,2013-09-16,f,7e Arrondissement,45.75028,4.84655,Entire home/apt,2,1.0,31.0,2,7,0,0,2021-12-12,4.0,licensed,1.0,10
50042188,131466060,2017-05-22,f,4e Arrondissement,45.77558,4.83801,Entire home/apt,1,1.0,30.0,365,1125,89,0,2021-06-25,4.0,Unlicensed,1.0,23
50043640,316423644,2019-12-11,f,8e Arrondissement,45.74863,4.86131,Entire home/apt,2,1.0,59.0,2,28,0,29,2024-08-21,4.5,licensed,1.0,29
50050821,204416164,2018-07-23,f,3e Arrondissement,45.7593436,4.8710356,Entire home/apt,3,1.0,65.0,4,10,0,1,2023-10-11,4.0,licensed,1.0,12
50059029,273591121,2019-07-04,f,6e Arrondissement,45.76522,4.85462,Private room,2,1.0,30.0,1,7,0,0,2021-12-12,4.8,Unlicensed,1.0,11
50069693,291015206,2019-09-02,f,2e Arrondissement,45.76249,4.83648,Entire home/apt,2,1.0,64.0,2,365,331,56,2024-09-08,4.63,licensed,1.0,31
50076679,158691898,2017-11-14,f,9e Arrondissement,45.77799,4.80828,Entire home/apt,4,1.0,73.0,3,365,43,14,2023-12-22,4.51,licensed,2.0,40
50076736,210842754,2018-08-21,t,6e Arrondissement,45.771121978759766,4.847747802734375,Entire home/apt,4,1.0,132.0,1,180,169,5,2024-08-08,4.81,licensed,1.0,38
50079536,403962509,2021-05-28,f,5e Arrondissement,45.7586,4.82312,Private room,2,1.0,24.0,1,1125,0,0,2022-12-11,4.74,Unlicensed,1.0,10
50082110,403984568,2021-05-28,f,1er Arrondissement,45.76938,4.82968,Entire home/apt,3,1.0,59.0,30,300,147,2,2024-06-07,4.5,Mobility lease only,1.0,21
50082822,146265521,2017-08-16,f,1er Arrondissement,45.767792,4.833343,Entire home/apt,2,1.0,69.0,2,1125,0,0,2022-05-08,4.3,licensed,1.0,31
50085074,403976540,2021-05-28,t,3e Arrondissement,45.75663,4.852558,Entire home/apt,2,1.0,67.0,1,30,250,60,2024-09-11,4.96,licensed,1.0,48
50089608,316423644,2019-12-11,f,3e Arrondissement,45.76007696461246,4.8733491285417605,Entire home/apt,4,1.0,75.0,365,365,149,48,2024-09-02,4.64,licensed,2.0,28
50115992,29613918,2015-03-19,f,7e Arrondissement,45.74736,4.8375,Entire home/apt,4,1.0,70.0,2,21,0,0,2021-08-26,4.73,licensed,2.0,29
50122213,23824491,2014-11-16,f,3e Arrondissement,45.7564,4.85743,Entire home/apt,3,1.0,49.0,50,100,0,0,2021-07-11,5.0,licensed,1.0,12
50123968,404451938,2021-05-31,f,7e Arrondissement,45.75353,4.84214,Entire home/apt,2,1.0,90.0,3,7,72,3,2024-06-28,4.68,licensed,1.0,23
50128015,36686911,2015-06-25,f,1er Arrondissement,45.76871,4.83606,Entire home/apt,4,1.0,140.0,2,28,48,2,2024-03-21,4.36,licensed,2.0,39
50128756,507610557,2023-03-29,f,7e Arrondissement,45.75304,4.8406,Entire home/apt,4,1.0,77.0,1,1125,326,48,2024-09-01,4.54,licensed,1.0,26
50130648,98265139,2016-10-05,f,8e Arrondissement,45.72444,4.87941,Private room,1,1.0,50.0,2,365,289,4,2024-08-31,4.64,Unlicensed,1.0,37
50133193,68253087,2016-04-21,f,7e Arrondissement,45.75187,4.84411,Entire home/apt,2,1.0,100.0,2,100,0,13,2024-04-19,4.76,licensed,1.0,27
50139670,139608556,2017-07-10,f,5e Arrondissement,45.76047,4.80044,Private room,2,1.0,28.0,1,30,51,18,2024-08-31,4.79,Unlicensed,1.0,38
50141159,404462231,2021-05-31,f,3e Arrondissement,45.76317,4.85994,Entire home/apt,3,1.0,48.0,3,1125,80,8,2024-06-28,4.68,licensed,2.0,9
50153495,404737467,2021-06-01,t,7e Arrondissement,45.74994,4.84867,Entire home/apt,4,1.0,90.0,3,365,0,0,2023-08-20,4.6,licensed,2.0,34
50153794,2524009,2012-06-02,t,6e Arrondissement,45.76888732848512,4.843188414934394,Entire home/apt,2,1.0,74.0,1,25,236,76,2024-09-10,4.85,licensed,0.0,37
50154696,26189991,2015-01-16,f,6e Arrondissement,45.76742,4.84905,Entire home/apt,4,1.0,100.0,365,1125,0,0,2021-07-09,5.0,Unlicensed,1.0,27
50160944,334754969,2020-02-09,f,1er Arrondissement,45.76929,4.83227,Entire home/apt,4,1.0,100.0,4,1125,245,0,2021-07-23,5.0,licensed,2.0,10
50161029,291015206,2019-09-02,f,3e Arrondissement,45.76299,4.84458,Entire home/apt,5,1.0,117.0,2,28,343,27,2024-09-12,4.81,licensed,1.0,31
50164467,12666261,2014-02-28,f,3e Arrondissement,45.75908,4.86871,Entire home/apt,2,1.0,55.0,2,1125,0,0,2021-11-04,4.79,licensed,1.0,28
50165568,359049855,2020-07-28,f,5e Arrondissement,45.75361,4.77947,Entire home/apt,6,1.0,75.0,5,60,239,2,2023-09-30,4.5,licensed,4.0,19
50173749,89294704,2016-08-11,f,2e Arrondissement,45.76369,4.83209,Entire home/apt,6,1.0,180.0,365,1125,0,0,2021-07-11,4.75,licensed,2.0,36
50186117,5528089,2013-03-19,t,5e Arrondissement,45.75579,4.82099,Private room,2,1.0,46.0,1,365,351,53,2024-08-18,4.9,Unlicensed,1.0,23
50193805,155608828,2017-10-21,f,1er Arrondissement,45.76902,4.83577,Entire home/apt,6,1.0,113.0,2,500,334,4,2024-08-18,4.7,licensed,2.0,13
50196415,132994635,2017-06-01,f,5e Arrondissement,45.74749,4.78877,Entire home/apt,8,2.0,400.0,2,1125,0,0,2022-12-11,5.0,licensed,5.0,49
50202443,125585291,2017-04-12,f,1er Arrondissement,45.77314,4.83045,Private room,2,1.0,53.0,1,1125,31,13,2024-07-26,4.78,Unlicensed,1.0,30
50207580,316423644,2019-12-11,f,3e Arrondissement,45.748262593706,4.881320359685423,Entire home/apt,2,1.0,50.0,2,360,126,46,2024-08-18,4.55,licensed,0.0,28
50208077,316423644,2019-12-11,f,8e Arrondissement,45.7343457309759,4.884509049044256,Entire home/apt,2,1.0,44.0,3,365,21,42,2024-08-19,4.67,licensed,0.0,35
50242922,135877199,2017-06-19,f,3e Arrondissement,45.76249,4.84199,Entire home/apt,3,1.0,43.0,3,365,0,4,2023-09-30,4.29,licensed,1.0,35
50244927,316423644,2019-12-11,f,2e Arrondissement,45.74519,4.82234,Entire home/apt,2,1.0,65.0,2,1125,243,58,2024-09-06,4.86,licensed,1.0,52
50249995,240752,2010-09-20,t,5e Arrondissement,45.75429,4.81982,Entire home/apt,4,2.0,149.0,2,30,133,5,2024-08-18,5.0,licensed,2.0,62
50252955,342795913,2020-03-30,f,4e Arrondissement,45.7776,4.823,Private room,1,1.0,44.0,1,365,328,3,2024-09-06,5.0,Unlicensed,1.0,13
50253184,403976540,2021-05-28,t,3e Arrondissement,45.756618,4.852488,Entire home/apt,2,1.0,64.0,1,30,253,64,2024-09-08,4.94,licensed,1.0,47
50257983,13429663,2014-03-23,f,9e Arrondissement,45.76674,4.81427,Entire home/apt,2,1.0,60.0,2,365,0,0,2021-10-31,5.0,licensed,1.0,39
50273267,65461198,2016-04-02,f,6e Arrondissement,45.767662,4.855679,Entire home/apt,4,1.0,80.0,2,60,121,23,2024-09-11,4.69,licensed,1.0,33
50279912,520770021,2023-06-19,f,7e Arrondissement,45.75054,4.84291,Entire home/apt,6,1.0,105.0,2,1125,230,56,2024-09-08,4.58,licensed,2.0,14
50280884,91514951,2016-08-23,t,8e Arrondissement,45.72737,4.87335,Private room,1,1.0,25.0,25,100,0,1,2024-03-01,5.0,Unlicensed,1.0,10
50295018,149674862,2017-09-08,f,6e Arrondissement,45.76449966430664,4.868032932281494,Entire home/apt,2,1.0,47.0,1,1125,359,32,2024-08-17,4.46,Exempt,1.0,40
50295352,397065916,2021-04-15,f,9e Arrondissement,45.769146,4.805811,Entire home/apt,2,1.0,88.0,1,365,90,26,2024-08-27,4.02,Exempt,0.0,10
